N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wB
3593.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
10000.0,0.0,es,gs,hs,0.0,0.3,0.9,5,0.95
1.0,1.0,es,gs,hs,0.5,0.4,1.0,5,0.99
2.0,0.731556,es,gs,hs,0.5,0.4,1.0,5,0.99
7.0,0.158319,es,gs,hs,0.5,0.4,1.0,5,0.99
21.0,0.1911209999999999,es,gs,hs,0.5,0.4,1.0,5,0.99
59.0,0.013747,es,gs,hs,0.5,0.4,1.0,5,0.99
166.0,0.0,es,gs,hs,0.5,0.4,1.0,5,0.99
464.0,0.0,es,gs,hs,0.5,0.4,1.0,5,0.99
1291.0,0.0,es,gs,hs,0.5,0.4,1.0,5,0.99
3593.0,0.0,es,gs,hs,0.5,0.4,1.0,5,0.99
10000.0,0.0,es,gs,hs,0.5,0.4,1.0,5,0.99
1.0,1.0,es,gs,hs,0.5,0.7,1.0,5,0.8
2.0,0.68921,es,gs,hs,0.5,0.7,1.0,5,0.8
7.0,0.506149,es,gs,hs,0.5,0.7,1.0,5,0.8
21.0,0.101115,es,gs,hs,0.5,0.7,1.0,5,0.8
59.0,0.028969,es,gs,hs,0.5,0.7,1.0,5,0.8
166.0,0.49385,es,gs,hs,0.5,0.7,1.0,5,0.8
464.0,1.70752,es,gs,hs,0.5,0.7,1.0,5,0.8
1291.0,4.858033,es,gs,hs,0.5,0.7,1.0,5,0.8
3593.0,14.102524999999998,es,gs,hs,0.5,0.7,1.0,5,0.8
10000.0,38.38,es,gs,hs,0.5,0.7,1.0,5,0.8
1.0,1.0,es,gs,hs,0.25,0.7,0.9,5,0.75
2.0,0.570398,es,gs,hs,0.25,0.7,0.9,5,0.75
7.0,0.141834,es,gs,hs,0.25,0.7,0.9,5,0.75
21.0,0.002226,es,gs,hs,0.25,0.7,0.9,5,0.75
59.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
166.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
464.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
1291.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
3593.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
10000.0,0.0,es,gs,hs,0.25,0.7,0.9,5,0.75
1.0,1.0,es,gs,ss,0.25,0.3,0.9,5,0.95
2.0,0.586974,es,gs,ss,0.25,0.3,0.9,5,0.95
7.0,0.068887,es,gs,ss,0.25,0.3,0.9,5,0.95
21.0,0.000483,es,gs,ss,0.25,0.3,0.9,5,0.95
59.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
166.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
464.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
1291.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
3593.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
10000.0,0.0,es,gs,ss,0.25,0.3,0.9,5,0.95
1.0,1.0,es,gs,hs,0.5,0.1,0.9,5,0.85
2.0,0.27659,es,gs,hs,0.5,0.1,0.9,5,0.85
7.0,0.001148,es,gs,hs,0.5,0.1,0.9,5,0.85
21.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
59.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
166.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
464.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
1291.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
3593.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
10000.0,0.0,es,gs,hs,0.5,0.1,0.9,5,0.85
1.0,1.0,es,gs,ss,0.25,0.0,0.8,5,0.8
2.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
7.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
21.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
59.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
166.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
464.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
1291.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
3593.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
10000.0,0.0,es,gs,ss,0.25,0.0,0.8,5,0.8
1.0,1.0,es,gs,hs,1.0,1.0,0.8,5,0.9
2.0,0.946464,es,gs,hs,1.0,1.0,0.8,5,0.9
7.0,1.152046,es,gs,hs,1.0,1.0,0.8,5,0.9
21.0,1.191687,es,gs,hs,1.0,1.0,0.8,5,0.9
59.0,1.196874,es,gs,hs,1.0,1.0,0.8,5,0.9
166.0,1.1885599999999998,es,gs,hs,1.0,1.0,0.8,5,0.9
464.0,1.191552,es,gs,hs,1.0,1.0,0.8,5,0.9
1291.0,1.17481,es,gs,hs,1.0,1.0,0.8,5,0.9
3593.0,1.322224,es,gs,hs,1.0,1.0,0.8,5,0.9
10000.0,1.63,es,gs,hs,1.0,1.0,0.8,5,0.9
1.0,1.0,es,gs,hs,0.75,0.2,0.8,5,0.85
2.0,0.556984,es,gs,hs,0.75,0.2,0.8,5,0.85
7.0,0.006965,es,gs,hs,0.75,0.2,0.8,5,0.85
21.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
59.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
166.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
464.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
1291.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
3593.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
10000.0,0.0,es,gs,hs,0.75,0.2,0.8,5,0.85
1.0,1.0,es,gs,ss,0.0,0.5,0.8,5,0.95
2.0,0.978744,es,gs,ss,0.0,0.5,0.8,5,0.95
7.0,0.547323,es,gs,ss,0.0,0.5,0.8,5,0.95
21.0,0.353472,es,gs,ss,0.0,0.5,0.8,5,0.95
59.0,0.098176,es,gs,ss,0.0,0.5,0.8,5,0.95
166.0,0.001162,es,gs,ss,0.0,0.5,0.8,5,0.95
464.0,0.0,es,gs,ss,0.0,0.5,0.8,5,0.95
1291.0,0.0,es,gs,ss,0.0,0.5,0.8,5,0.95
3593.0,0.0,es,gs,ss,0.0,0.5,0.8,5,0.95
10000.0,0.0,es,gs,ss,0.0,0.5,0.8,5,0.95
1.0,1.0,es,gs,hs,0.5,0.5,0.7,5,0.9
2.0,0.790778,es,gs,hs,0.5,0.5,0.7,5,0.9
7.0,0.302316,es,gs,hs,0.5,0.5,0.7,5,0.9
21.0,0.196224,es,gs,hs,0.5,0.5,0.7,5,0.9
59.0,0.191927,es,gs,hs,0.5,0.5,0.7,5,0.9
166.0,0.018592,es,gs,hs,0.5,0.5,0.7,5,0.9
464.0,0.0,es,gs,hs,0.5,0.5,0.7,5,0.9
1291.0,0.0,es,gs,hs,0.5,0.5,0.7,5,0.9
3593.0,0.0,es,gs,hs,0.5,0.5,0.7,5,0.9
10000.0,0.0,es,gs,hs,0.5,0.5,0.7,5,0.9
1.0,1.0,es,gs,hs,0.25,0.8,0.7,5,0.85
2.0,0.663698,es,gs,hs,0.25,0.8,0.7,5,0.85
7.0,0.32277,es,gs,hs,0.25,0.8,0.7,5,0.85
21.0,0.042336,es,gs,hs,0.25,0.8,0.7,5,0.85
59.0,0.000177,es,gs,hs,0.25,0.8,0.7,5,0.85
166.0,0.0,es,gs,hs,0.25,0.8,0.7,5,0.85
464.0,0.0,es,gs,hs,0.25,0.8,0.7,5,0.85
1291.0,0.0,es,gs,hs,0.25,0.8,0.7,5,0.85
3593.0,0.0,es,gs,hs,0.25,0.8,0.7,5,0.85
10000.0,0.0,es,gs,hs,0.25,0.8,0.7,5,0.85
1.0,1.0,es,gs,hs,0.25,0.1,0.9,5,0.99
2.0,0.267372,es,gs,hs,0.25,0.1,0.9,5,0.99
7.0,0.000896,es,gs,hs,0.25,0.1,0.9,5,0.99
21.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
59.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
166.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
464.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
1291.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
3593.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
10000.0,0.0,es,gs,hs,0.25,0.1,0.9,5,0.99
1.0,1.0,es,gs,hs,0.75,0.6,0.7,5,0.85
2.0,0.881418,es,gs,hs,0.75,0.6,0.7,5,0.85
7.0,0.764351,es,gs,hs,0.75,0.6,0.7,5,0.85
21.0,0.603981,es,gs,hs,0.75,0.6,0.7,5,0.85
59.0,0.581858,es,gs,hs,0.75,0.6,0.7,5,0.85
166.0,0.428446,es,gs,hs,0.75,0.6,0.7,5,0.85
464.0,0.1508,es,gs,hs,0.75,0.6,0.7,5,0.85
1291.0,0.005164,es,gs,hs,0.75,0.6,0.7,5,0.85
3593.0,0.0,es,gs,hs,0.75,0.6,0.7,5,0.85
10000.0,0.0,es,gs,hs,0.75,0.6,0.7,5,0.85
1.0,1.0,es,gs,ss,0.0,0.1,0.7,5,0.95
2.0,0.323026,es,gs,ss,0.0,0.1,0.7,5,0.95
7.0,0.000847,es,gs,ss,0.0,0.1,0.7,5,0.95
21.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
59.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
166.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
464.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
1291.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
3593.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
10000.0,0.0,es,gs,ss,0.0,0.1,0.7,5,0.95
1.0,1.0,es,gs,hs,0.5,0.8,0.7,5,0.99
2.0,0.832458,es,gs,hs,0.5,0.8,0.7,5,0.99
7.0,0.85421,es,gs,hs,0.5,0.8,0.7,5,0.99
21.0,0.977445,es,gs,hs,0.5,0.8,0.7,5,0.99
59.0,0.729476,es,gs,hs,0.5,0.8,0.7,5,0.99
166.0,0.787504,es,gs,hs,0.5,0.8,0.7,5,0.99
464.0,0.933568,es,gs,hs,0.5,0.8,0.7,5,0.99
1291.0,1.351677,es,gs,hs,0.5,0.8,0.7,5,0.99
3593.0,2.76661,es,gs,hs,0.5,0.8,0.7,5,0.99
10000.0,7.550000000000001,es,gs,hs,0.5,0.8,0.7,5,0.99
1.0,1.0,es,gs,hs,0.5,0.7,0.9,5,0.9
