N,NPfix,fits,germs,hards,pGermBH,pGermWT,bankLength,fmean,fvar
215.0,0.2579999999999999,fs,gs,hs,1.0,0.7,7,1.0,0.01
464.0,0.2552,fs,gs,hs,1.0,0.7,7,1.0,0.01
1000.0,0.3,fs,gs,hs,1.0,0.7,7,1.0,0.01
1.0,1.0,fd,gs,ss,0.6,0.7,3,1.1,0.05
2.0,1.19832,fd,gs,ss,0.6,0.7,3,1.1,0.05
4.0,1.00516,fd,gs,ss,0.6,0.7,3,1.1,0.05
10.0,0.6841999999999999,fd,gs,ss,0.6,0.7,3,1.1,0.05
21.0,0.4893,fd,gs,ss,0.6,0.7,3,1.1,0.05
46.0,0.22632,fd,gs,ss,0.6,0.7,3,1.1,0.05
100.0,0.027,fd,gs,ss,0.6,0.7,3,1.1,0.05
215.0,0.00215,fd,gs,ss,0.6,0.7,3,1.1,0.05
464.0,0.0,fd,gs,ss,0.6,0.7,3,1.1,0.05
1000.0,0.0,fd,gs,ss,0.6,0.7,3,1.1,0.05
1.0,1.0,fd,gs,ss,0.7,0.9,7,1.1,0.05
2.0,0.98104,fd,gs,ss,0.7,0.9,7,1.1,0.05
4.0,0.86644,fd,gs,ss,0.7,0.9,7,1.1,0.05
10.0,0.79,fd,gs,ss,0.7,0.9,7,1.1,0.05
21.0,0.78813,fd,gs,ss,0.7,0.9,7,1.1,0.05
46.0,0.7843,fd,gs,ss,0.7,0.9,7,1.1,0.05
100.0,0.73,fd,gs,ss,0.7,0.9,7,1.1,0.05
215.0,0.8256,fd,gs,ss,0.7,0.9,7,1.1,0.05
464.0,0.6774399999999999,fd,gs,ss,0.7,0.9,7,1.1,0.05
1000.0,0.6,fd,gs,ss,0.7,0.9,7,1.1,0.05
1.0,1.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
2.0,0.62506,fd,gs,hs,0.7,1.0,3,1.0,0.01
4.0,0.43492,fd,gs,hs,0.7,1.0,3,1.0,0.01
10.0,0.1447999999999999,fd,gs,hs,0.7,1.0,3,1.0,0.01
21.0,0.00462,fd,gs,hs,0.7,1.0,3,1.0,0.01
46.0,0.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
100.0,0.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
215.0,0.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
464.0,0.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
1000.0,0.0,fd,gs,hs,0.7,1.0,3,1.0,0.01
1.0,1.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
2.0,0.66318,fs,gs,hs,0.5,0.9,7,1.0,0.05
4.0,0.37252,fs,gs,hs,0.5,0.9,7,1.0,0.05
10.0,0.0236,fs,gs,hs,0.5,0.9,7,1.0,0.05
21.0,0.00021,fs,gs,hs,0.5,0.9,7,1.0,0.05
46.0,0.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
100.0,0.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
215.0,0.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
464.0,0.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
1000.0,0.0,fs,gs,hs,0.5,0.9,7,1.0,0.05
1.0,1.0,fs,gs,ss,0.8,1.0,3,0.9,0.01
2.0,0.86484,fs,gs,ss,0.8,1.0,3,0.9,0.01
4.0,0.82756,fs,gs,ss,0.8,1.0,3,0.9,0.01
10.0,0.7996000000000001,fs,gs,ss,0.8,1.0,3,0.9,0.01
21.0,0.78288,fs,gs,ss,0.8,1.0,3,0.9,0.01
46.0,0.70748,fs,gs,ss,0.8,1.0,3,0.9,0.01
100.0,0.6649999999999999,fs,gs,ss,0.8,1.0,3,0.9,0.01
215.0,0.4858999999999999,fs,gs,ss,0.8,1.0,3,0.9,0.01
464.0,0.3016,fs,gs,ss,0.8,1.0,3,0.9,0.01
1000.0,0.15,fs,gs,ss,0.8,1.0,3,0.9,0.01
1.0,1.0,fd,gs,hs,0.7,1.0,3,1.1,0.01
2.0,0.68476,fd,gs,hs,0.7,1.0,3,1.1,0.01
4.0,0.57844,fd,gs,hs,0.7,1.0,3,1.1,0.01
10.0,0.4388999999999999,fd,gs,hs,0.7,1.0,3,1.1,0.01
21.0,0.13314,fd,gs,hs,0.7,1.0,3,1.1,0.01
46.0,0.41262,fd,gs,hs,0.7,1.0,3,1.1,0.01
100.0,0.35,fd,gs,hs,0.7,1.0,3,1.1,0.01
215.0,0.1634,fd,gs,hs,0.7,1.0,3,1.1,0.01
464.0,0.0232,fd,gs,hs,0.7,1.0,3,1.1,0.01
1000.0,0.0,fd,gs,hs,0.7,1.0,3,1.1,0.01
1.0,1.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
2.0,0.6577,fd,gs,hs,1.0,0.5,5,0.9,0.1
4.0,0.41124,fd,gs,hs,1.0,0.5,5,0.9,0.1
10.0,0.1268,fd,gs,hs,1.0,0.5,5,0.9,0.1
21.0,0.01386,fd,gs,hs,1.0,0.5,5,0.9,0.1
46.0,0.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
100.0,0.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
215.0,0.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
464.0,0.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
1000.0,0.0,fd,gs,hs,1.0,0.5,5,0.9,0.1
1.0,1.0,fs,gs,hs,0.5,0.9,7,1.1,0.05
2.0,0.73328,fs,gs,hs,0.5,0.9,7,1.1,0.05
4.0,0.51272,fs,gs,hs,0.5,0.9,7,1.1,0.05
10.0,0.0827999999999999,fs,gs,hs,0.5,0.9,7,1.1,0.05
