N,NPfix,envs,germs,hards,pA,pGermBH,pGermWT,bankLength,wA,wB,site
10.0,0.0004,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.25,0.227,0.5,7,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
2.0,0.25134,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
4.0,0.09768,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
10.0,0.001,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
215.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
464.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
1000.0,0.0,es,gs,hs,0.25,0.227,0.75,7,1.884,0.116,GCN
1.0,1.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
2.0,0.3355,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
4.0,0.16256,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
10.0,0.0032,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
21.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
46.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
100.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
215.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
464.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
1000.0,0.0,ed,gs,hs,0.0,0.227,0.75,3,1.884,0.116,GCN
1.0,1.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
2.0,0.00852,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
4.0,4e-05,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
10.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
21.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
46.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
100.0,0.0,es,gs,hs,0.0,0.227,0.227,3,1.884,0.116,GCN
